,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance
0,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,769.5
1,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25
2,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75
3,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75
4,Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5
5,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5
6,Yes,Points,Letter,Low,2,No,Low,3,1,3,Yes,1454.5
7,Yes,Points,Postcard,High,1,Yes,Low,1,1,9,No,161.5
8,Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5
9,Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5
10,Yes,Cash Back,Postcard,Medium,3,No,Low,1,1,5,No,1133.25
11,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,1141.5
12,Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75
13,Yes,Points,Postcard,High,2,No,Low,1,1,1,Yes,887.25
14,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,984.0
15,Yes,Cash Back,Letter,Low,2,No,Low,3,2,3,Yes,1107.5
16,Yes,Cash Back,Postcard,High,1,No,Low,2,1,4,Yes,896.25
17,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,2,Yes,944.5
18,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,916.5
19,Yes,Points,Postcard,Low,1,No,Low,2,1,5,No,1735.25
20,Yes,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,992.25
21,Yes,Points,Postcard,Medium,1,No,High,2,1,3,No,1028.75
