,Offer Accepted,Reward,Mailer Type,Income Level,Credit Rating,# Credit Cards Held,Household Size
0,Yes,Air Miles,Letter,Medium,Low,1,2
1,Yes,Air Miles,Postcard,High,Low,2,5
2,Yes,Air Miles,Postcard,Low,High,2,2
3,Yes,Air Miles,Postcard,Low,Medium,1,2
4,Yes,Cash Back,Postcard,High,Low,2,5
5,Yes,Cash Back,Postcard,Medium,Low,1,5
6,Yes,Points,Letter,Low,Low,3,3
7,Yes,Points,Postcard,High,Low,1,9
8,Yes,Air Miles,Letter,High,High,2,5
9,Yes,Air Miles,Postcard,High,Medium,2,3
10,Yes,Cash Back,Postcard,Medium,Low,1,5
11,Yes,Air Miles,Letter,Low,Low,1,3
12,Yes,Air Miles,Letter,High,Medium,1,5
13,Yes,Points,Postcard,High,Low,1,1
14,Yes,Cash Back,Postcard,Low,Low,2,4
15,Yes,Cash Back,Letter,Low,Low,3,3
16,Yes,Cash Back,Postcard,High,Low,2,4
17,Yes,Air Miles,Postcard,Medium,Medium,3,2
18,Yes,Air Miles,Postcard,Medium,Low,1,4
19,Yes,Points,Postcard,Low,Low,2,5
20,Yes,Points,Postcard,Medium,Low,1,4
21,Yes,Points,Postcard,Medium,High,2,3
22,Yes,Cash Back,Postcard,Low,Low,2,4
23,Yes,Points,Postcard,Medium,Low,1,3
24,Yes,Air Miles,Postcard,Medium,Low,1,4
25,Yes,Air Miles,Postcard,Low,Low,1,4
26,Yes,Cash Back,Letter,Medium,Low,3,4
27,Yes,Air Miles,Postcard,Medium,High,2,3
28,Yes,Points,Postcard,Medium,High,1,2
29,Yes,Points,Postcard,Low,Low,2,1
30,Yes,Cash Back,Postcard,Low,Low,2,3
31,Yes,Air Miles,Postcard,Medium,High,2,4
32,Yes,Points,Postcard,High,Low,2,2
33,Yes,Air Miles,Letter,High,Medium,1,4
34,Yes,Points,Postcard,Low,Low,1,5
35,Yes,Air Miles,Postcard,High,Low,1,5
36,Yes,Air Miles,Postcard,High,Medium,2,3
37,Yes,Points,Postcard,Medium,Low,2,5
38,Yes,Air Miles,Postcard,Medium,Low,2,4
39,Yes,Air Miles,Postcard,Medium,Medium,1,5
40,Yes,Air Miles,Postcard,Medium,Low,2,3
41,Yes,Points,Postcard,High,Low,1,3
42,Yes,Points,Postcard,Low,Low,2,3
43,Yes,Cash Back,Letter,Low,Low,2,4
44,Yes,Points,Postcard,Low,Low,2,4
45,Yes,Points,Letter,Low,Low,2,6
46,Yes,Cash Back,Postcard,Medium,High,3,3
47,Yes,Points,Letter,Medium,Low,2,3
48,Yes,Air Miles,Postcard,Medium,Low,3,4
49,Yes,Cash Back,Postcard,Medium,Low,3,3
50,Yes,Cash Back,Postcard,Low,Medium,1,3
51,Yes,Air Miles,Letter,Low,Medium,2,3
52,Yes,Points,Postcard,Medium,Medium,3,4
53,Yes,Air Miles,Postcard,Low,Low,3,5
54,Yes,Cash Back,Postcard,Medium,Low,2,3
55,Yes,Points,Postcard,Medium,Medium,2,2
56,Yes,Points,Postcard,Medium,Low,2,4
57,Yes,Air Miles,Postcard,Medium,Low,1,2
58,Yes,Air Miles,Postcard,Low,Low,1,3
