Offer Accepted,Reward_Air Miles,Reward_Cash Back,Reward_Points,Mailer Type_Letter,Mailer Type_Postcard,Income Level_High,Income Level_Low,Income Level_Medium,Overdraft Protection_No,Overdraft Protection_Yes,Credit Rating_High,Credit Rating_Low,Credit Rating_Medium,Own Your Home_No,Own Your Home_Yes,PC1,PC2
1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,-0.658520319303979,1.814280422679721
1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,-0.25125924860490517,1.7912172257258046
1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,-0.2085120754347726,-1.5847827525831417
1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0.8701355993929706,-0.945226797654627
1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1.824849828373204,0.6868318559260058
1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,-0.12539155093156185,2.1146204299803757
1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,2.423531365248751,0.22449076362371323
1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,-3.6113468096824657,0.6855829920267598
1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0.49465290747965046,-2.1849034796152664
1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,-0.6263117768770416,0.003757154207254276
1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0.66686795375255,-1.8361373661046834
1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1.1021631341867755,0.6788374782633887
1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0.4752638809668772,1.771838476513342
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,-0.5249975994646215,-1.884670111216999
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,-0.03858249332224735,-0.5148378100440858
1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0.9386733125201413,-1.189266541032254
1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,-0.4326900050151156,-1.8397298514224913
1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,-0.05204969365716378,0.614626200106493
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,-0.2767700822294491,-1.9996343147764224
1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,3.664859187496672,-0.05089935108821308
1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.595855395872316,-0.20741573276286265
1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0.564345623566369,1.2369149818437308
1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1.7114022068162589,-1.9576719966165579
1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,-0.2699379156452235,0.2432767601663684
1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1.5667968760319995,-1.315134743058652
1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0.3104386765379264,-1.6151466178120075
1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0.5588022565572214,0.3287740712547497
1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0.36940927569737264,-0.8597298890778787
1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,-1.4920374239358418,0.257836230280513
1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1.7913116385509076,0.7063855333739588
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0.4738712834837571,-2.241991551536902
1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0.40271357228035004,-2.85064045930927
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1.3720509309432374,0.3241659989360691
1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,-3.7492028351237425,0.2463493565782792
1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,-0.48701851007781577,0.40395939508972817
1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,-3.1818058696544136,0.6671548937165022
1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0.46883921796824296,0.9801610311509547
1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.19249505151166796,-0.23087420422562407
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0.8544605023353748,1.0912789139864216
1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0.7205049974191737,0.23302158520690736
1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0.6259111583861426,2.4460517660169745
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0.1355602079630793,-1.8743083209048317
1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0.09738139854737705,-1.826836954467126
1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0.6747889783308887,0.5982125687490251
1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,-3.515834380300646,-0.01056068850520201
1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,-3.8184580632101652,0.5854835873473823
1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0.21238030955147025,-1.5247618306251094
1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,-3.1869837751842396,0.0638174197270532
1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1.060899507648073,-1.4393327391994317
1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0.46619586946480857,1.7469579523030898
1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,-0.13728574383095082,-1.9254522857847347
1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0.4378281137337762,-1.533327103669057
1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1.9362949398072349,1.3487100412323425
1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.6054576046658142,0.789540801141441
1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0.10686866894653231,-0.6038812355697708
1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1.9675948917284165,1.2551801550026567
1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,-0.5230524065951773,0.28235961422591344
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,-3.3699561719046045,0.1108504249231149
1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0.19432135296533395,-2.3118136400400853
1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,-0.9523970606319482,-0.08396401433840288
1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0.20263388257091908,-1.9932163130366225
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0.34708415427738687,-1.8543264683828888
1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0.5038071273862408,1.1661148436593698
1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,-0.6650170210374223,-0.21824720472005144
1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0.7430032149414338,0.7073961989656671
1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0.8513824179572469,-1.4625011283320848
1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1.0727479889996634,1.7865679775226404
1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0.7765014606617369,1.3257880354686498
1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0.7096184558812794,0.55756740382902
1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0.21291414721874194,1.6489867814923425
1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,-2.953106930722054,0.21556376310372077
1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0.27960834946981145,0.4441672147326853
1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2.1168486397620474,1.1230343895964536
1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,-1.3641208582799933,-0.12513412302107563
1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,-3.042067165876073,0.11930651999190249
1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,-1.0455715281606213,0.30578572210574717
1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0.355723811374883,-1.683637668128825
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,-3.4425341287947266,0.20576003890957506
1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,2.3525465452069314,0.20235794237160454
1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,-3.1097007355934774,0.005323777908087809
1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,-3.7003373699600464,0.6578146791849914
1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0.44198333244149934,1.9588857942737723
1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,2.2324253332087594,1.5309554862176151
1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,-3.2660100499795397,0.05311224833309939
1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0.6601119069170598,-1.8994531204465162
1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,-3.6503715275229265,0.032232796927158414
1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0.5563023191275048,-1.34957088551035
1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,-3.2023062968890295,0.2420751932966225
1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0.7593373359126745,1.1450380116725456
1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,-3.3991777540899584,0.429172406287691
1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0.45660719501795655,1.3528208955326184
1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,2.0636156155938283,1.6748398692139383
1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,-1.1166470487513893,-0.12156735309556473
1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.09524974517302735,1.3249650503678203
1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0.14512966642505948,1.9920639222004628
1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0.010202717409506666,-0.2383744100691511
1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,2.4039424702981287,-0.03256592095964041
1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0.48289060062313405,1.5413478576855437
1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,-1.0631740710648316,0.03894985949765423
1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0.3151224620088169,1.1708617979533442
1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,-0.7106745312460461,-0.31272155890866177
1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0.09998543198574308,-1.8364245866061606
1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,-0.46914039789180023,-2.2059838050956184
1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,2.9813627724379317,0.6039567313785184
1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,-0.7485385318898715,1.8334563088182623
1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1.8816540454389483,0.9449737646739597
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,-3.1491651523601973,0.5701440600114227
1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,-0.2539552557522573,0.353936569988122
